"country","host_name","network_zone_type","ip_address","data_centre_location","it_service","it_service_owner","rhel_version","network_environment","running_cost_in_usd","infrastructure_component","operational_status"
"US","host8206","WAN","200.12.30.109","New York DC","File Storage","Adele","RHEL 9","Dev",1038,"Mule PCE","planned"
"CN","host6308","LAN","209.170.177.215","Beijing DC","File Storage","Adele","RHEL 8","Prod",832,"Hazelcast","active"
"UK","host9477","LAN","207.149.5.53","London DC","Email","Amy Winehouse","RHEL 9","Dev",768,"rProxy","active"
"CN","host7877","DMZ","192.154.157.87","Beijing DC","Web Hosting","David Bowie","RHEL 8","Dev",487,"Mule PCE","planned"
"PL","host1704","LAN","197.233.72.229","Warsaw DC","Database","John Lennon","RHEL 8","Test",469,"Kong GW","active"
"UK","host8126","WAN","221.157.139.176","London DC","Web Hosting","Adele","RHEL 8","Test",1210,"rProxy","active"
"CN","host1038","LAN","202.170.116.56","Beijing DC","File Storage","David Bowie","RHEL 9","Test",710,"Hazelcast","active"
"UK","host9339","LAN","202.169.2.106","London DC","Email","Amy Winehouse","RHEL 8","Test",1334,"Hazelcast","active"
"US","host1329","WAN","195.162.14.116","New York DC","Database","David Bowie","RHEL 8","Prod",1455,"Mule GW","active"
"US","host1654","LAN","208.235.195.172","New York DC","Email","Adele","RHEL 8","Dev",1012,"Mule GW","decommissioning"
"US","host6926","DMZ","196.176.157.96","New York DC","Database","David Bowie","RHEL 7","UAT",1591,"Kong GW","decommissioning"
"PL","host1877","WAN","214.42.151.103","Warsaw DC","Monitoring","Adele","RHEL 7","Prod",615,"Mule GW","decommissioning"
"US","host4616","LAN","215.70.243.89","New York DC","Database","Adele","RHEL 8","Prod",1411,"Hazelcast","active"
"UK","host3963","WAN","203.25.141.128","London DC","Email","Amy Winehouse","RHEL 9","Prod",800,"rProxy","planned"
"UK","host2009","LAN","192.84.108.39","London DC","Web Hosting","John Lennon","RHEL 8","Prod",845,"Kong GW","active"
"US","host2005","LAN","212.133.204.170","New York DC","Email","David Bowie","RHEL 8","Prod",1121,"Mule PCE","active"
"US","host2573","LAN","205.148.46.239","New York DC","Web Hosting","Adele","RHEL 8","Dev",1435,"Mule GW","active"
"UK","host5166","LAN","204.159.106.79","London DC","Email","John Lennon","RHEL 8","Dev",987,"Mule GW","active"
"UK","host6670","LAN","221.179.186.79","London DC","Email","Adele","RHEL 9","Test",900,"Mule GW","active"
"CN","host1203","LAN","194.244.172.234","Beijing DC","Database","Elton John","RHEL 9","Dev",581,"Hazelcast","planned"
"PL","host1660","LAN","198.15.125.182","Warsaw DC","Email","Elton John","RHEL 7","Prod",752,"Hazelcast","decommissioning"
"UK","host2818","LAN","204.34.58.34","London DC","Monitoring","Amy Winehouse","RHEL 9","Dev",930,"Mule GW","planned"
"PL","host5391","WAN","222.176.221.129","Warsaw DC","Email","David Bowie","RHEL 8","Prod",430,"Mule GW","active"
"US","host4498","WAN","209.253.147.44","New York DC","Web Hosting","John Lennon","RHEL 8","Test",1263,"Kong GW","active"
"US","host9872","LAN","201.149.228.193","New York DC","Database","David Bowie","RHEL 8","Dev",1198,"Kong GW","active"
"PL","host5731","LAN","204.13.117.41","Warsaw DC","Email","Amy Winehouse","RHEL 8","Prod",464,"Hazelcast","active"
"UK","host8104","LAN","204.64.75.43","London DC","File Storage","Adele","RHEL 8","Prod",1126,"rProxy","active"
"US","host8967","WAN","205.172.45.192","New York DC","Web Hosting","John Lennon","RHEL 8","Prod",1455,"Mule GW","active"
"US","host1176","LAN","215.215.202.8","New York DC","Email","John Lennon","RHEL 9","Prod",1074,"Kong GW","active"
"US","host9647","LAN","219.199.42.157","New York DC","Database","Adele","RHEL 9","Prod",1029,"rProxy","active"
"US","host9841","LAN","193.147.65.241","New York DC","Web Hosting","Amy Winehouse","RHEL 9","Prod",857,"Hazelcast","active"
"UK","host2922","LAN","205.191.82.120","London DC","Monitoring","John Lennon","RHEL 7","Prod",1469,"Mule PCE","planned"
"US","host3695","LAN","219.237.46.241","New York DC","Database","John Lennon","RHEL 9","Prod",987,"rProxy","planned"
"UK","host7221","DMZ","198.67.240.59","London DC","Email","Adele","RHEL 8","Prod",874,"Mule PCE","planned"
"US","host2613","LAN","207.126.66.164","New York DC","Monitoring","David Bowie","RHEL 7","Dev",1916,"Hazelcast","decommissioning"
"US","host3519","LAN","211.77.74.117","New York DC","Web Hosting","Adele","RHEL 9","Test",1077,"rProxy","active"
"UK","host4034","LAN","204.44.26.220","London DC","Database","David Bowie","RHEL 8","Prod",1226,"Hazelcast","active"
"US","host1362","DMZ","198.247.210.110","New York DC","Monitoring","Adele","RHEL 8","Dev",1177,"Mule GW","active"
"UK","host7920","LAN","221.153.96.86","London DC","Web Hosting","Adele","RHEL 9","Prod",612,"Hazelcast","planned"
"US","host1203","LAN","210.48.75.103","New York DC","Email","Adele","RHEL 9","Prod",953,"rProxy","planned"
"US","host3652","LAN","222.35.143.103","New York DC","Database","Adele","RHEL 8","Dev",1478,"Kong GW","active"
"UK","host6567","LAN","205.1.161.141","London DC","Web Hosting","David Bowie","RHEL 8","Prod",1263,"MongoDB","active"
"PL","host4555","WAN","203.85.202.63","Warsaw DC","Email","Adele","RHEL 7","Test",513,"Hazelcast","decommissioning"
"UK","host9091","LAN","221.188.89.32","London DC","Email","David Bowie","RHEL 8","UAT",892,"Mule GW","active"
"US","host2004","DMZ","210.190.93.140","New York DC","Web Hosting","David Bowie","RHEL 8","Prod",1392,"Kong GW","active"
"US","host6541","WAN","197.203.234.125","New York DC","File Storage","Adele","RHEL 9","Prod",933,"Hazelcast","active"
"US","host1499","DMZ","220.246.152.117","New York DC","Email","Adele","RHEL 9","Dev",1067,"rProxy","active"
"US","host7734","DMZ","204.204.66.75","New York DC","Email","Amy Winehouse","RHEL 9","Prod",949,"rProxy","planned"
"UK","host5913","LAN","213.2.76.30","London DC","Database","Elton John","RHEL 9","UAT",943,"Hazelcast","planned"
"US","host5405","LAN","209.226.210.92","New York DC","Database","Amy Winehouse","RHEL 9","Dev",1069,"MongoDB","active"
"US","host9023","LAN","216.10.184.53","New York DC","Database","Adele","RHEL 8","UAT",1269,"rProxy","active"
"HK","host4705","DMZ","202.182.238.96","Hong Kong DC","File Storage","Amy Winehouse","RHEL 7","Prod",774,"Mule PCE","decommissioning"
"HK","host2891","LAN","215.99.218.116","Hong Kong DC","File Storage","Elton John","RHEL 9","Prod",669,"Mule GW","active"
"UK","host6740","WAN","195.167.149.180","London DC","File Storage","Adele","RHEL 8","Dev",922,"rProxy","planned"
"US","host3473","WAN","207.153.118.67","New York DC","Database","Amy Winehouse","RHEL 8","Prod",1415,"Hazelcast","active"
"UK","host6295","LAN","223.146.175.75","London DC","Monitoring","John Lennon","RHEL 8","Test",879,"Kong GW","decommissioning"
"UK","host4983","WAN","212.31.12.221","London DC","Email","Adele","RHEL 8","Test",1251,"MongoDB","active"
"UK","host6666","LAN","195.189.45.28","London DC","Web Hosting","David Bowie","RHEL 8","Prod",1051,"MongoDB","active"
"UK","host5556","DMZ","195.201.106.1","London DC","Database","David Bowie","RHEL 8","Prod",1296,"Mule PCE","active"
"US","host4550","DMZ","203.252.118.137","New York DC","Web Hosting","Amy Winehouse","RHEL 9","Prod",1185,"Mule GW","active"
"US","host4212","DMZ","202.158.150.56","New York DC","Email","Adele","RHEL 8","Prod",1343,"MongoDB","decommissioning"
"US","host6675","LAN","198.213.229.208","New York DC","File Storage","Adele","RHEL 9","Dev",1069,"Kong GW","active"
"HK","host3912","LAN","216.34.145.131","Hong Kong DC","Web Hosting","Elton John","RHEL 8","Test",751,"Kong GW","decommissioning"
"CN","host6715","LAN","206.35.236.213","Beijing DC","Email","Adele","RHEL 8","Dev",492,"rProxy","planned"
"UK","host6369","WAN","210.67.254.232","London DC","Monitoring","David Bowie","RHEL 9","Prod",978,"Kong GW","planned"
"UK","host4730","LAN","195.174.52.254","London DC","Email","Elton John","RHEL 8","Test",843,"rProxy","active"
"UK","host6695","WAN","215.184.248.119","London DC","Web Hosting","Adele","RHEL 8","Prod",887,"Hazelcast","active"
"US","host7958","LAN","222.247.5.170","New York DC","Web Hosting","Adele","RHEL 9","Dev",825,"rProxy","planned"
"UK","host2297","DMZ","208.122.238.250","London DC","File Storage","Adele","RHEL 8","Dev",847,"rProxy","active"
"PL","host5265","LAN","192.33.170.3","Warsaw DC","Email","Adele","RHEL 8","Prod",346,"rProxy","decommissioning"
"PL","host4782","WAN","195.141.185.48","Warsaw DC","Database","Adele","RHEL 8","Prod",449,"rProxy","planned"
"UK","host7523","LAN","203.132.162.209","London DC","Email","David Bowie","RHEL 8","Test",1073,"Kong GW","active"
"UK","host1542","WAN","206.226.130.32","London DC","File Storage","Amy Winehouse","RHEL 8","Prod",1257,"Mule GW","planned"
"UK","host6461","LAN","214.124.250.222","London DC","Database","Elton John","RHEL 8","Test",1392,"Mule GW","active"
"US","host8134","LAN","218.69.125.177","New York DC","Email","David Bowie","RHEL 8","Dev",1416,"rProxy","active"
"US","host6225","DMZ","217.177.53.117","New York DC","Monitoring","John Lennon","RHEL 8","Prod",1249,"Kong GW","decommissioning"
"UK","host2294","WAN","214.164.105.108","London DC","Email","Adele","RHEL 9","Prod",958,"MongoDB","planned"
"PL","host3588","LAN","209.42.172.192","Warsaw DC","Email","Amy Winehouse","RHEL 9","Test",391,"Hazelcast","planned"
"US","host1380","DMZ","223.111.31.233","New York DC","Database","Adele","RHEL 8","Dev",1053,"Mule GW","planned"
"UK","host3021","LAN","196.200.252.192","London DC","Email","Amy Winehouse","RHEL 9","Prod",994,"Hazelcast","planned"
"UK","host4764","LAN","220.100.6.59","London DC","File Storage","John Lennon","RHEL 9","Dev",622,"Kong GW","active"
"UK","host1547","LAN","214.158.82.142","London DC","Web Hosting","Amy Winehouse","RHEL 9","Prod",647,"Kong GW","planned"
"UK","host8369","LAN","212.217.162.253","London DC","Web Hosting","David Bowie","RHEL 8","Prod",1371,"rProxy","active"
"US","host5558","LAN","195.38.223.113","New York DC","Email","David Bowie","RHEL 9","Dev",872,"Kong GW","planned"
"HK","host7346","LAN","205.40.52.7","Hong Kong DC","Web Hosting","Adele","RHEL 8","Dev",532,"rProxy","active"
"CN","host8834","LAN","203.169.169.211","Beijing DC","Database","David Bowie","RHEL 8","Prod",559,"Hazelcast","planned"
"US","host7800","LAN","216.236.112.222","New York DC","Email","Adele","RHEL 7","Dev",1516,"rProxy","active"
"UK","host9395","LAN","204.116.68.34","London DC","Web Hosting","Adele","RHEL 8","Prod",895,"Kong GW","planned"
"HK","host3246","LAN","201.45.45.4","Hong Kong DC","Database","Amy Winehouse","RHEL 8","Prod",692,"rProxy","active"
"UK","host9505","LAN","222.53.200.59","London DC","Email","David Bowie","RHEL 8","Prod",857,"Mule GW","active"
"UK","host1712","LAN","196.97.94.240","London DC","Database","David Bowie","RHEL 7","Dev",1476,"Hazelcast","decommissioning"
"HK","host7747","LAN","210.236.196.156","Hong Kong DC","Database","Adele","RHEL 9","Dev",636,"rProxy","active"
"PL","host8880","DMZ","202.135.5.162","Warsaw DC","Email","Amy Winehouse","RHEL 9","Test",169,"Hazelcast","active"
"UK","host5527","LAN","193.44.173.237","London DC","Email","Adele","RHEL 9","Prod",913,"Mule GW","planned"
"PL","host2982","LAN","198.4.95.182","Warsaw DC","Monitoring","Adele","RHEL 9","Dev",196,"Hazelcast","planned"
"US","host3784","DMZ","213.201.72.131","New York DC","Email","David Bowie","RHEL 7","Prod",1666,"MongoDB","decommissioning"
"PL","host1669","WAN","221.14.227.234","Warsaw DC","Email","David Bowie","RHEL 7","Dev",504,"Mule GW","decommissioning"
"UK","host7405","WAN","222.232.13.9","London DC","Database","Amy Winehouse","RHEL 9","Dev",794,"Hazelcast","planned"
"US","host9597","WAN","198.132.44.182","New York DC","Database","Adele","RHEL 8","Prod",1283,"rProxy","active"
"US","host8555","DMZ","202.119.249.144","New York DC","Database","Adele","RHEL 7","UAT",2000,"rProxy","active"
"UK","host1088","WAN","199.12.65.94","London DC","Web Hosting","John Lennon","RHEL 8","Prod",1228,"rProxy","active"
"PL","host8489","WAN","198.238.212.213","Warsaw DC","Database","Adele","RHEL 9","Prod",355,"rProxy","active"
"UK","host9979","WAN","196.50.85.72","London DC","Database","Adele","RHEL 9","UAT",691,"Hazelcast","planned"
"PL","host2911","WAN","207.3.184.240","Warsaw DC","Database","Adele","RHEL 7","Test",799,"Hazelcast","planned"
"US","host8208","LAN","216.173.241.30","New York DC","Email","Elton John","RHEL 8","Prod",1287,"Mule PCE","active"
"HK","host4805","LAN","207.189.115.37","Hong Kong DC","Email","Adele","RHEL 8","Prod",709,"rProxy","active"
"US","host8606","WAN","219.214.60.92","New York DC","Email","Adele","RHEL 8","Test",1324,"rProxy","active"
"US","host2273","LAN","210.222.144.115","New York DC","Database","John Lennon","RHEL 8","Prod",1068,"Kong GW","active"
"UK","host5061","DMZ","197.195.231.63","London DC","Monitoring","John Lennon","RHEL 7","Prod",1409,"rProxy","decommissioning"
"US","host2987","LAN","215.24.115.210","New York DC","Email","Adele","RHEL 9","UAT",1054,"Mule GW","planned"
"PL","host5045","LAN","203.231.50.201","Warsaw DC","Database","David Bowie","RHEL 8","UAT",356,"Hazelcast","planned"
"US","host5070","LAN","210.252.173.88","New York DC","Email","Adele","RHEL 9","Prod",1166,"rProxy","planned"
"UK","host9430","LAN","223.154.56.158","London DC","Database","David Bowie","RHEL 9","Prod",848,"Kong GW","active"
"PL","host1294","LAN","199.81.187.182","Warsaw DC","Database","Amy Winehouse","RHEL 7","Prod",536,"Hazelcast","active"
"US","host4704","LAN","199.18.240.223","New York DC","Monitoring","Adele","RHEL 8","Test",1312,"Hazelcast","planned"
"US","host7844","DMZ","212.201.179.233","New York DC","Monitoring","Adele","RHEL 9","Dev",1161,"Kong GW","active"
"US","host9047","LAN","221.176.246.140","New York DC","Email","John Lennon","RHEL 7","Prod",1720,"Hazelcast","decommissioning"
"UK","host6384","WAN","199.33.61.49","London DC","Monitoring","Amy Winehouse","RHEL 8","Prod",1173,"Mule GW","planned"
"HK","host4587","LAN","223.46.122.165","Hong Kong DC","Email","Amy Winehouse","RHEL 9","Dev",973,"Mule GW","active"
"UK","host9814","LAN","219.238.167.23","London DC","Web Hosting","Elton John","RHEL 8","Dev",842,"Mule PCE","active"
"UK","host3044","LAN","219.138.30.49","London DC","File Storage","Adele","RHEL 8","Prod",1201,"Hazelcast","decommissioning"
"US","host5714","LAN","215.151.201.125","New York DC","Database","Adele","RHEL 8","Dev",1312,"Hazelcast","active"
"UK","host5544","LAN","203.61.247.126","London DC","Database","Adele","RHEL 8","Prod",1292,"Hazelcast","active"
"US","host8538","DMZ","217.9.73.6","New York DC","Web Hosting","Adele","RHEL 7","Prod",1715,"rProxy","active"
"UK","host7858","LAN","220.75.148.41","London DC","Email","Adele","RHEL 7","Prod",1672,"Hazelcast","decommissioning"
"US","host3361","DMZ","216.56.4.26","New York DC","Database","John Lennon","RHEL 7","Prod",1657,"rProxy","decommissioning"
"US","host6475","LAN","197.59.195.123","New York DC","Email","Adele","RHEL 9","Dev",840,"rProxy","active"
"US","host6477","LAN","214.120.212.163","New York DC","File Storage","Adele","RHEL 9","Test",939,"Hazelcast","planned"
"UK","host5605","LAN","219.208.166.109","London DC","Email","Amy Winehouse","RHEL 8","Prod",1368,"Hazelcast","active"
"UK","host9557","LAN","215.80.38.146","London DC","Web Hosting","Adele","RHEL 8","Prod",988,"Kong GW","planned"
"UK","host9344","WAN","214.85.64.68","London DC","Web Hosting","David Bowie","RHEL 8","Prod",948,"Hazelcast","active"
"UK","host5295","LAN","217.127.191.49","London DC","Web Hosting","Adele","RHEL 8","Dev",1262,"Mule PCE","decommissioning"
"UK","host3434","LAN","194.61.98.140","London DC","Web Hosting","Adele","RHEL 8","Dev",1117,"Kong GW","active"
"US","host6001","LAN","214.171.64.65","New York DC","Monitoring","Adele","RHEL 8","Prod",1398,"Hazelcast","active"
"PL","host8975","DMZ","219.163.150.166","Warsaw DC","Monitoring","David Bowie","RHEL 7","UAT",779,"Mule GW","decommissioning"
"UK","host8504","LAN","194.55.30.15","London DC","File Storage","Amy Winehouse","RHEL 7","Dev",1337,"Hazelcast","planned"
"PL","host2341","WAN","211.173.34.72","Warsaw DC","Database","Adele","RHEL 8","Test",388,"Hazelcast","active"
"PL","host5518","LAN","219.243.200.111","Warsaw DC","File Storage","Elton John","RHEL 8","Dev",453,"Kong GW","planned"
"HK","host6716","DMZ","202.188.62.123","Hong Kong DC","File Storage","Elton John","RHEL 9","Dev",679,"rProxy","active"
"PL","host5532","DMZ","208.110.85.238","Warsaw DC","Email","Adele","RHEL 8","Test",524,"Kong GW","active"
"US","host7180","LAN","202.141.66.137","New York DC","Web Hosting","Elton John","RHEL 9","Test",963,"rProxy","planned"
"US","host3266","LAN","208.8.130.34","New York DC","Monitoring","Elton John","RHEL 8","Dev",1143,"Mule GW","active"
"UK","host9160","LAN","195.74.41.82","London DC","Web Hosting","David Bowie","RHEL 9","Dev",765,"Hazelcast","planned"
"UK","host1467","LAN","195.132.123.82","London DC","Database","John Lennon","RHEL 9","Prod",759,"Hazelcast","active"
"HK","host7962","LAN","194.195.240.232","Hong Kong DC","Database","Adele","RHEL 9","Prod",906,"Kong GW","active"
"PL","host3357","LAN","207.184.149.79","Warsaw DC","Email","Adele","RHEL 7","Dev",624,"Kong GW","active"
"US","host8061","WAN","204.97.195.46","New York DC","Web Hosting","Adele","RHEL 7","Prod",1746,"Kong GW","decommissioning"
"US","host6075","DMZ","196.43.74.10","New York DC","Monitoring","Amy Winehouse","RHEL 8","Prod",1086,"Mule GW","active"
"US","host6554","LAN","219.165.174.248","New York DC","File Storage","Adele","RHEL 7","Dev",1589,"Hazelcast","active"
"PL","host8302","LAN","218.2.1.138","Warsaw DC","Database","David Bowie","RHEL 8","Test",364,"rProxy","active"
"US","host8172","WAN","196.101.223.147","New York DC","File Storage","John Lennon","RHEL 7","Prod",1963,"Kong GW","decommissioning"
"US","host2623","LAN","216.124.66.113","New York DC","File Storage","David Bowie","RHEL 8","Dev",1040,"Kong GW","decommissioning"
"US","host2980","LAN","219.4.58.77","New York DC","Monitoring","Amy Winehouse","RHEL 9","Prod",824,"Hazelcast","planned"
"US","host1388","LAN","209.113.106.123","New York DC","Web Hosting","David Bowie","RHEL 8","Dev",1332,"rProxy","active"
"UK","host9607","LAN","204.155.186.249","London DC","Web Hosting","Amy Winehouse","RHEL 9","Prod",784,"rProxy","active"
"US","host7010","WAN","217.227.143.103","New York DC","Database","Amy Winehouse","RHEL 8","Dev",1385,"Kong GW","active"
"UK","host1214","LAN","199.95.100.217","London DC","Web Hosting","Adele","RHEL 9","Test",918,"Mule GW","planned"
"UK","host7219","LAN","222.110.68.139","London DC","Web Hosting","Adele","RHEL 8","Prod",971,"Mule GW","planned"
"PL","host8532","WAN","200.65.31.245","Warsaw DC","Database","Amy Winehouse","RHEL 8","Test",304,"rProxy","decommissioning"
"UK","host5265","WAN","192.119.242.243","London DC","Database","Adele","RHEL 8","Dev",1071,"Mule GW","planned"
"PL","host4424","DMZ","218.190.205.148","Warsaw DC","Web Hosting","Adele","RHEL 8","Dev",470,"Kong GW","active"
"UK","host7128","LAN","196.31.61.254","London DC","Email","John Lennon","RHEL 8","Dev",1077,"Hazelcast","active"
"US","host7190","LAN","192.213.44.97","New York DC","Email","Elton John","RHEL 9","Test",940,"Kong GW","planned"
"UK","host5522","LAN","201.200.22.165","London DC","Monitoring","Adele","RHEL 9","UAT",720,"Kong GW","planned"
"CN","host8695","WAN","207.159.239.181","Beijing DC","Monitoring","Adele","RHEL 8","Test",578,"Hazelcast","active"
"UK","host2847","WAN","209.249.140.202","London DC","Web Hosting","Adele","RHEL 9","Dev",677,"rProxy","active"
"US","host5966","LAN","197.48.17.118","New York DC","Web Hosting","John Lennon","RHEL 9","Prod",956,"Mule GW","active"
"US","host9117","LAN","210.64.170.43","New York DC","File Storage","Adele","RHEL 8","Dev",1026,"Kong GW","active"
"UK","host7743","LAN","208.207.98.50","London DC","Database","John Lennon","RHEL 9","Prod",911,"rProxy","planned"
"UK","host7786","LAN","215.4.75.15","London DC","Database","David Bowie","RHEL 9","UAT",942,"MongoDB","planned"
"US","host4905","LAN","223.111.217.2","New York DC","File Storage","Adele","RHEL 9","Prod",1151,"rProxy","planned"
"US","host7724","LAN","209.170.28.217","New York DC","Database","John Lennon","RHEL 8","Prod",1500,"Kong GW","active"
"UK","host8649","WAN","201.136.254.201","London DC","Database","Amy Winehouse","RHEL 7","Test",1582,"Mule PCE","decommissioning"
"PL","host1741","LAN","221.97.171.165","Warsaw DC","Email","Adele","RHEL 9","UAT",358,"rProxy","planned"
"UK","host9617","LAN","202.226.48.193","London DC","Web Hosting","David Bowie","RHEL 7","Prod",1678,"rProxy","decommissioning"
"US","host4929","LAN","210.142.115.13","New York DC","Email","David Bowie","RHEL 8","UAT",1003,"Kong GW","planned"
"UK","host5246","WAN","212.15.248.229","London DC","Database","David Bowie","RHEL 9","Prod",824,"Hazelcast","planned"
"PL","host2919","WAN","212.117.145.24","Warsaw DC","Email","Amy Winehouse","RHEL 8","Dev",361,"rProxy","planned"
"UK","host6322","LAN","215.83.24.213","London DC","Monitoring","David Bowie","RHEL 9","Prod",774,"Kong GW","planned"
"US","host9945","WAN","204.87.197.7","New York DC","Monitoring","Amy Winehouse","RHEL 9","UAT",803,"Hazelcast","planned"
"UK","host2258","LAN","219.190.70.84","London DC","Email","David Bowie","RHEL 8","Prod",1114,"rProxy","decommissioning"
"CN","host5092","LAN","213.21.161.17","Beijing DC","Web Hosting","Amy Winehouse","RHEL 8","Prod",709,"Mule GW","active"
"US","host1791","LAN","216.83.106.252","New York DC","Email","John Lennon","RHEL 8","Prod",1255,"Hazelcast","planned"
"PL","host9932","LAN","203.44.0.163","Warsaw DC","Web Hosting","David Bowie","RHEL 8","Prod",441,"rProxy","active"
"US","host7092","LAN","192.220.140.104","New York DC","Database","David Bowie","RHEL 8","Prod",1281,"Mule GW","planned"
"US","host8165","DMZ","198.180.108.183","New York DC","File Storage","Amy Winehouse","RHEL 8","Prod",1139,"MongoDB","active"
"US","host9016","LAN","209.203.106.241","New York DC","Web Hosting","Adele","RHEL 8","Prod",1432,"Kong GW","active"
"US","host9934","LAN","210.127.157.25","New York DC","Email","Adele","RHEL 8","UAT",1103,"Mule PCE","active"
"US","host3101","LAN","218.233.166.227","New York DC","Email","Amy Winehouse","RHEL 8","Dev",1070,"Mule GW","planned"
"US","host5008","WAN","220.70.47.71","New York DC","Database","Adele","RHEL 7","Dev",1806,"Mule PCE","decommissioning"
